[2019-12-27 21:18:46] main.ERROR: Error: Application is not installed yet.  [] []
[2019-12-27 21:26:32] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_4"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_1","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_1","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_2","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_2","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_3","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_3","FPC"],"mode":"matchingTag"}} []
